# data file from generate.cpp
wavelengths,spectrum
800.0000000000,0.9078433324
800.1000000000,0.9062112752
800.2000000000,0.9045931088
800.3000000000,0.9029901103
800.4000000000,0.9014035239
800.5000000000,0.8998345578
800.6000000000,0.8982843804
800.7000000000,0.8967541175
800.8000000000,0.8952448482
800.9000000000,0.8937576025
801.0000000000,0.8922933577
801.1000000000,0.8908530357
801.2000000000,0.8894374999
801.3000000000,0.8880475524
801.4000000000,0.8866839318
801.5000000000,0.8853473102
801.6000000000,0.8840382914
801.7000000000,0.8827574083
801.8000000000,0.8815051210
801.9000000000,0.8802818152
802.0000000000,0.8790878005
802.1000000000,0.8779233085
802.2000000000,0.8767884923
802.3000000000,0.8756834246
802.4000000000,0.8746080976
802.5000000000,0.8735624218
802.6000000000,0.8725462258
802.7000000000,0.8715592561
802.8000000000,0.8706011769
802.9000000000,0.8696715708
803.0000000000,0.8687699388
803.1000000000,0.8678957010
803.2000000000,0.8670481983
803.3000000000,0.8662266924
803.4000000000,0.8654303685
803.5000000000,0.8646583359
803.6000000000,0.8639096308
803.7000000000,0.8631832180
803.8000000000,0.8624779934
803.9000000000,0.8617927866
804.0000000000,0.8611263643
804.1000000000,0.8604774326
804.2000000000,0.8598446413
804.3000000000,0.8592265866
804.4000000000,0.8586218156
804.5000000000,0.8580288300
804.6000000000,0.8574460901
804.7000000000,0.8568720198
804.8000000000,0.8563050103
804.9000000000,0.8557434254
805.0000000000,0.8551856062
805.1000000000,0.8546298760
805.2000000000,0.8540745449
805.3000000000,0.8535179159
805.4000000000,0.8529582889
805.5000000000,0.8523939668
805.6000000000,0.8518232601
805.7000000000,0.8512444926
805.8000000000,0.8506560060
805.9000000000,0.8500561655
806.0000000000,0.8494433642
806.1000000000,0.8488160285
806.2000000000,0.8481726227
806.3000000000,0.8475116534
806.4000000000,0.8468316738
806.5000000000,0.8461312883
806.6000000000,0.8454091558
806.7000000000,0.8446639939
806.8000000000,0.8438945817
806.9000000000,0.8430997634
807.0000000000,0.8422784507
807.1000000000,0.8414296252
807.2000000000,0.8405523405
807.3000000000,0.8396457236
807.4000000000,0.8387089767
807.5000000000,0.8377413774
807.6000000000,0.8367422799
807.7000000000,0.8357111142
807.8000000000,0.8346473865
807.9000000000,0.8335506781
808.0000000000,0.8324206444
808.1000000000,0.8312570131
808.2000000000,0.8300595827
808.3000000000,0.8288282198
808.4000000000,0.8275628565
808.5000000000,0.8262634877
808.6000000000,0.8249301674
808.7000000000,0.8235630053
808.8000000000,0.8221621629
808.9000000000,0.8207278491
809.0000000000,0.8192603163
809.1000000000,0.8177598552
809.2000000000,0.8162267907
809.3000000000,0.8146614769
809.4000000000,0.8130642919
809.5000000000,0.8114356332
809.6000000000,0.8097759127
809.7000000000,0.8080855514
809.8000000000,0.8063649750
809.9000000000,0.8046146088
810.0000000000,0.8028348736
810.1000000000,0.8010261805
810.2000000000,0.7991889275
810.3000000000,0.7973234950
810.4000000000,0.7954302426
810.5000000000,0.7935095057
810.6000000000,0.7915615924
810.7000000000,0.7895867813
810.8000000000,0.7875853192
810.9000000000,0.7855574196
811.0000000000,0.7835032615
811.1000000000,0.7814229890
811.2000000000,0.7793167106
811.3000000000,0.7771845005
811.4000000000,0.7750263986
811.5000000000,0.7728424126
811.6000000000,0.7706325199
811.7000000000,0.7683966700
811.8000000000,0.7661347878
811.9000000000,0.7638467768
812.0000000000,0.7615325240
812.1000000000,0.7591919034
812.2000000000,0.7568247819
812.3000000000,0.7544310244
812.4000000000,0.7520104993
812.5000000000,0.7495630852
812.6000000000,0.7470886769
812.7000000000,0.7445871923
812.8000000000,0.7420585791
812.9000000000,0.7395028220
813.0000000000,0.7369199493
813.1000000000,0.7343100410
813.2000000000,0.7316732346
813.3000000000,0.7290097330
813.4000000000,0.7263198112
813.5000000000,0.7236038223
813.6000000000,0.7208622046
813.7000000000,0.7180954869
813.8000000000,0.7153042945
813.9000000000,0.7124893543
814.0000000000,0.7096514990
