# data file from generate.cpp
wavelengths,spectrum
2000.0000000000,0.9999999977
2000.2000000000,0.9999999969
2000.4000000000,0.9999999959
2000.6000000000,0.9999999946
2000.8000000000,0.9999999929
2001.0000000000,0.9999999906
2001.2000000000,0.9999999877
2001.4000000000,0.9999999839
2001.6000000000,0.9999999790
2001.8000000000,0.9999999726
2002.0000000000,0.9999999645
2002.2000000000,0.9999999540
2002.4000000000,0.9999999405
2002.6000000000,0.9999999233
2002.8000000000,0.9999999014
2003.0000000000,0.9999998734
2003.2000000000,0.9999998380
2003.4000000000,0.9999997931
2003.6000000000,0.9999997364
2003.8000000000,0.9999996649
2004.0000000000,0.9999995751
2004.2000000000,0.9999994624
2004.4000000000,0.9999993214
2004.6000000000,0.9999991456
2004.8000000000,0.9999989266
2005.0000000000,0.9999986546
2005.2000000000,0.9999983177
2005.4000000000,0.9999979013
2005.6000000000,0.9999973878
2005.8000000000,0.9999967564
2006.0000000000,0.9999959815
2006.2000000000,0.9999950330
2006.4000000000,0.9999938749
2006.6000000000,0.9999924640
2006.8000000000,0.9999907494
2007.0000000000,0.9999886708
2007.2000000000,0.9999861568
2007.4000000000,0.9999831236
2007.6000000000,0.9999794726
2007.8000000000,0.9999750885
2008.0000000000,0.9999698369
2008.2000000000,0.9999635609
2008.4000000000,0.9999560786
2008.6000000000,0.9999471796
2008.8000000000,0.9999366207
2009.0000000000,0.9999241223
2009.2000000000,0.9999093633
2009.4000000000,0.9998919766
2009.6000000000,0.9998715429
2009.8000000000,0.9998475858
2010.0000000000,0.9998195645
2010.2000000000,0.9997868679
2010.4000000000,0.9997488071
2010.6000000000,0.9997046079
2010.8000000000,0.9996534031
2011.0000000000,0.9995942243
2011.2000000000,0.9995259940
2011.4000000000,0.9994475165
2011.6000000000,0.9993574701
2011.8000000000,0.9992543983
2012.0000000000,0.9991367021
2012.2000000000,0.9990026318
2012.4000000000,0.9988502800
2012.6000000000,0.9986775755
2012.8000000000,0.9984822771
2013.0000000000,0.9982619701
2013.2000000000,0.9980140629
2013.4000000000,0.9977357859
2013.6000000000,0.9974241927
2013.8000000000,0.9970761625
2014.0000000000,0.9966884063
2014.2000000000,0.9962574747
2014.4000000000,0.9957797694
2014.6000000000,0.9952515581
2014.8000000000,0.9946689923
2015.0000000000,0.9940281293
